ngay_tao,nhiet_do,do_am,diem_suong,co2,pm25,hour,day_of_week,day_of_month,month,is_weekend,is_rush_hour,season,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,fourier_daily_sin_1,fourier_daily_cos_1,fourier_daily_sin_2,fourier_daily_cos_2,fourier_daily_sin_3,fourier_daily_cos_3,fourier_weekly_sin_1,fourier_weekly_cos_1,fourier_weekly_sin_2,fourier_weekly_cos_2,fourier_weekly_sin_3,fourier_weekly_cos_3,pm25_lag_1h,pm25_lag_2h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_lag_168h,nhiet_do_lag_1h,nhiet_do_lag_2h,nhiet_do_lag_3h,nhiet_do_lag_6h,nhiet_do_lag_12h,nhiet_do_lag_24h,nhiet_do_lag_48h,nhiet_do_lag_168h,do_am_lag_1h,do_am_lag_2h,do_am_lag_3h,do_am_lag_6h,do_am_lag_12h,do_am_lag_24h,do_am_lag_48h,do_am_lag_168h,diem_suong_lag_1h,diem_suong_lag_2h,diem_suong_lag_3h,diem_suong_lag_6h,diem_suong_lag_12h,diem_suong_lag_24h,diem_suong_lag_48h,diem_suong_lag_168h,co2_lag_1h,co2_lag_2h,co2_lag_3h,co2_lag_6h,co2_lag_12h,co2_lag_24h,co2_lag_48h,co2_lag_168h,pm25_roll_3h_mean,pm25_roll_3h_std,pm25_roll_3h_min,pm25_roll_3h_max,pm25_roll_3h_range,pm25_roll_6h_mean,pm25_roll_6h_std,pm25_roll_6h_min,pm25_roll_6h_max,pm25_roll_6h_range,pm25_roll_12h_mean,pm25_roll_12h_std,pm25_roll_12h_min,pm25_roll_12h_max,pm25_roll_12h_range,pm25_roll_24h_mean,pm25_roll_24h_std,pm25_roll_24h_min,pm25_roll_24h_max,pm25_roll_24h_range,pm25_roll_48h_mean,pm25_roll_48h_std,pm25_roll_48h_min,pm25_roll_48h_max,pm25_roll_48h_range,pm25_roll_168h_mean,pm25_roll_168h_std,pm25_roll_168h_min,pm25_roll_168h_max,pm25_roll_168h_range,pm25_ewm_12h_mean,pm25_ewm_12h_std,pm25_ewm_24h_mean,pm25_ewm_24h_std,pm25_ewm_48h_mean,pm25_ewm_48h_std,pm25_diff_1h,pm25_diff_24h,pm25_pct_change_1h,pm25_pct_change_24h,co2_pm25_ratio,temp_humidity_interaction,pm25_aqi_cat,pm25_x_temp,pm25_x_humidity,pm25_x_hour,pm25_x_is_night,temp_dew_diff,pm25_relative_24h,is_imputed
2022-03-24 08:00:00,29.666666666666668,72.96666666666667,25.533333333333335,349.1666666666667,8.066666666666666,8,3,24,3,0,1,0,0.8660254037844387,-0.49999999999999983,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.49999999999999983,-0.8660254037844384,-0.5000000000000004,-2.4492935982947064e-16,1.0,0.14904226617617472,-0.9888308262251285,-0.2947551744109047,0.9555728057861406,0.43388373911755845,-0.9009688679024189,16.03448275862069,25.1,30.133333333333333,16.24137931034483,14.666666666666666,16.766666666666666,8.733333333333333,37.142857142857146,28.517241379310345,26.9,26.0,27.0,28.733333333333334,29.466666666666665,29.966666666666665,30.0,80.10344827586206,86.86666666666666,91.73333333333333,86.3103448275862,76.2,77.76666666666667,74.96666666666667,59.642857142857146,26.0,26.0,26.0,25.310344827586206,25.0,26.3,26.466666666666665,25.0,375.51724137931035,391.6333333333333,416.76666666666665,383.55172413793105,353.1333333333333,385.8333333333333,382.0,484.14285714285717,23.755938697318005,7.144877358712663,16.03448275862069,30.133333333333333,14.098850574712642,22.851532567049812,8.740424801972786,14.166666666666666,35.43333333333333,21.266666666666666,19.494731800766285,7.2781082677494355,12.266666666666667,35.43333333333333,23.166666666666664,15.711206896551724,7.214425592875158,6.4,35.43333333333333,29.03333333333333,18.26000957854406,13.461481535954084,5.379310344827586,68.13793103448276,62.758620689655174,26.079202830557513,15.178135543541744,3.6666666666666665,74.56666666666666,70.89999999999999,20.423568495725476,8.584224384338116,19.43277599102963,10.570879631243477,19.069709783273005,12.243272917379663,-9.065517241379311,-18.0,-0.3611759857123231,-0.5288753799392096,21.775985663082437,21.64677777777778,1.0,475.68965517241384,1169.9827586206898,128.27586206896552,0.0,4.133333333333333,1.0141213674281664,False
2022-03-24 09:00:00,30.6,66.06666666666666,25.0,324.5,4.066666666666666,9,3,24,3,0,1,0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0.7071067811865474,0.7071067811865477,0.11196447610330798,-0.9937122098932426,-0.22252093395631464,0.9749279121818235,0.3302790619551666,-0.9438833303083677,8.066666666666666,16.03448275862069,25.1,14.166666666666666,20.82758620689655,10.166666666666666,9.033333333333333,34.1,29.666666666666668,28.517241379310345,26.9,27.0,28.0,31.133333333333333,30.433333333333334,31.3,72.96666666666667,80.10344827586206,86.86666666666666,86.53333333333333,79.17241379310344,68.16666666666667,69.33333333333333,62.4,25.533333333333335,26.0,26.0,25.233333333333334,25.96551724137931,25.833333333333332,25.833333333333332,24.8,349.1666666666667,375.51724137931035,391.6333333333333,379.2,357.51724137931035,344.26666666666665,367.8,451.3,16.40038314176245,8.522559675877858,8.066666666666666,25.1,17.033333333333335,21.48908045977011,10.447349977311037,8.066666666666666,35.43333333333333,27.366666666666664,18.944731800766284,7.899021339254774,8.066666666666666,35.43333333333333,27.366666666666664,15.348706896551725,7.37585306078304,6.4,35.43333333333333,29.03333333333333,18.24612068965517,13.471859735059041,5.379310344827586,68.13793103448276,62.758620689655174,25.906130268199234,15.216948690507138,3.6666666666666665,74.56666666666666,70.89999999999999,18.52250667586923,9.167135289611164,18.523486555087143,10.617235465107512,18.620213222968083,12.190929952816484,-7.967816091954024,-8.7,-0.49691756272401433,-0.5188866799204771,40.22727272727273,20.2164,0.0,246.84,532.9377777777777,72.6,0.0,5.600000000000001,0.5221580499056016,False
2022-03-24 10:00:00,32.5,58.666666666666664,24.866666666666667,314.06666666666666,5.233333333333333,10,3,24,3,0,0,0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,1.1943401194869635e-15,0.07473009358642467,-0.9972037971811801,-0.14904226617617528,0.9888308262251284,0.22252093395631475,-0.9749279121818235,4.066666666666666,8.066666666666666,16.03448275862069,35.43333333333333,19.566666666666666,8.9,6.633333333333334,32.266666666666666,30.6,29.666666666666668,28.517241379310345,26.3,28.0,32.56666666666667,31.966666666666665,32.0,66.06666666666666,72.96666666666667,80.10344827586206,89.73333333333333,82.0,60.46666666666667,63.8,58.93333333333333,25.0,25.533333333333335,26.0,25.933333333333334,26.0,25.533333333333335,25.833333333333332,24.433333333333334,324.5,349.1666666666667,375.51724137931035,408.26666666666665,360.8666666666667,319.8333333333333,347.93333333333334,431.03333333333336,9.389272030651341,6.092546201247876,4.066666666666666,16.03448275862069,11.967816091954024,19.80574712643678,12.479236352406566,4.066666666666666,35.43333333333333,31.366666666666664,17.547988505747124,8.948036344928024,4.066666666666666,35.43333333333333,31.366666666666664,15.094540229885057,7.661746499574221,4.066666666666666,35.43333333333333,31.366666666666664,18.142648467432952,13.56289115554938,4.066666666666666,68.13793103448276,64.0712643678161,25.72736042692939,15.296319994808805,3.6666666666666665,74.56666666666666,70.89999999999999,16.298531289837033,10.039128264242702,17.366940156604276,10.943436874269144,18.02569263949972,12.28914966381959,-4.0,-6.1,-0.49586776859504134,-0.6,77.22950819672131,19.066666666666666,0.0,132.16666666666666,238.57777777777775,40.666666666666664,0.0,7.633333333333333,0.267639994704692,False
2022-03-24 11:00:00,33.3,54.3,24.633333333333333,302.9,3.6,11,3,24,3,0,0,0,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,0.7071067811865471,-0.7071067811865479,0.037391194276325444,-0.9993007047883986,-0.0747300935864239,0.9972037971811801,0.1119644761033091,-0.9937122098932425,5.233333333333333,4.066666666666666,8.066666666666666,30.133333333333333,12.433333333333334,7.1,6.033333333333333,31.0,32.5,30.6,29.666666666666668,26.0,28.0,32.93333333333333,33.46666666666667,32.2,58.666666666666664,66.06666666666666,72.96666666666667,91.73333333333333,81.53333333333333,58.166666666666664,57.36666666666667,55.8,24.866666666666667,25.0,25.533333333333335,26.0,25.533333333333335,25.1,25.366666666666667,24.033333333333335,314.06666666666666,324.5,349.1666666666667,416.76666666666665,358.46666666666664,305.53333333333336,332.43333333333334,422.8666666666667,5.788888888888889,2.057056509063916,4.066666666666666,8.066666666666666,4.0,14.772413793103448,10.906730272019288,4.066666666666666,30.133333333333333,26.066666666666666,16.35354406130268,9.587853105311744,4.066666666666666,35.43333333333333,31.366666666666664,14.941762452107282,7.825446658616835,4.066666666666666,35.43333333333333,31.366666666666664,18.113481800766284,13.589647205051012,4.066666666666666,68.13793103448276,64.0712643678161,25.566447728516696,15.369134500244147,3.6666666666666665,74.56666666666666,70.89999999999999,14.59619314268195,10.132451910763427,16.396250987296863,11.022020748564834,17.50313543930083,12.304557399984725,1.166666666666667,-3.666666666666667,0.28688524590163933,-0.41198501872659177,57.87898089171974,18.081899999999997,0.0,174.26999999999998,284.17,57.56666666666667,0.0,8.666666666666664,0.3479202221146743,False
2022-03-24 12:00:00,34.13793103448276,52.48275862068966,25.0,296.2068965517241,1.9310344827586208,12,3,24,3,0,0,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,3.6739403974420594e-16,-1.0,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,3.6739403974420594e-16,-1.0,3.6,5.233333333333333,4.066666666666666,25.1,12.266666666666667,11.068965517241379,5.379310344827586,28.413793103448278,33.3,32.5,30.6,26.9,27.466666666666665,34.89655172413793,34.3448275862069,32.89655172413793,54.3,58.666666666666664,66.06666666666666,86.86666666666666,82.43333333333334,51.758620689655174,53.51724137931034,53.827586206896555,24.633333333333333,24.866666666666667,25.0,26.0,25.066666666666666,25.0,25.20689655172414,24.0,302.9,314.06666666666666,324.5,391.6333333333333,368.76666666666665,297.9310344827586,314.3448275862069,419.0,4.3,0.8412952976087101,3.6,5.233333333333333,1.6333333333333333,10.350191570881227,8.559351735727722,3.6,25.1,21.5,15.61743295019157,10.233539856838332,3.6,35.43333333333333,31.83333333333333,14.795929118773946,8.008411542154489,3.6,35.43333333333333,31.83333333333333,18.062787356321838,13.640114365058984,3.6,68.13793103448276,64.53793103448277,25.403352490421454,15.456264710322815,3.6,74.56666666666666,70.96666666666667,12.904471120730319,10.200159969064172,15.372550303419088,11.150860481614872,16.935222610772886,12.367381003519364,-1.6333333333333333,-3.4999999999999996,-0.3121019108280255,-0.49295774647887325,82.27969348659003,17.916527942925093,0.0,122.89655172413795,188.93793103448277,43.2,0.0,9.137931034482762,0.24167676761181506,False
2022-03-24 13:00:00,33.96666666666667,52.03333333333333,24.533333333333335,299.6333333333333,2.1666666666666665,13,3,24,3,0,0,0,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.2588190451025208,-0.9659258262890683,0.5,0.8660254037844386,-0.7071067811865466,-0.7071067811865485,-0.037391194276325646,-0.9993007047883985,0.07473009358642431,0.9972037971811801,-0.11196447610330837,-0.9937122098932425,1.9310344827586208,3.6,5.233333333333333,16.03448275862069,17.066666666666666,7.166666666666667,6.433333333333334,27.566666666666666,34.13793103448276,33.3,32.5,28.517241379310345,27.0,34.9,31.733333333333334,32.96666666666667,52.48275862068966,54.3,58.666666666666664,80.10344827586206,84.8,49.8,61.7,55.233333333333334,25.0,24.633333333333333,24.866666666666667,26.0,25.366666666666667,24.566666666666666,24.933333333333334,24.433333333333334,296.2068965517241,302.9,314.06666666666666,375.51724137931035,376.1,294.1,330.2,416.4,3.588122605363985,1.651181464589833,1.9310344827586208,5.233333333333333,3.3022988505747124,6.488697318007663,5.10237279838419,1.9310344827586208,16.03448275862069,14.10344827586207,14.756130268199234,10.950991979222472,1.9310344827586208,35.43333333333333,33.50229885057471,14.415181992337162,8.400913744767331,1.9310344827586208,35.43333333333333,33.50229885057471,17.99094827586207,13.71719915554399,1.9310344827586208,68.13793103448276,66.20689655172414,25.245717022441163,15.560075615316626,1.9310344827586208,74.56666666666666,72.63563218390804,11.21625009950343,10.253640757639078,14.29722845320153,11.325641080298563,16.322353479661516,12.478473074362046,-1.6689655172413793,-9.137931034482758,-0.46360153256704983,-0.8255451713395638,155.1672619047619,17.67398888888889,0.0,65.59080459770115,100.47816091954023,25.10344827586207,0.0,9.433333333333334,0.13303549922956875,False
2022-03-24 14:00:00,35.166666666666664,47.2,24.033333333333335,290.93333333333334,2.8666666666666667,14,3,24,3,0,0,0,-0.4999999999999998,-0.8660254037844388,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.4999999999999998,-0.8660254037844388,0.8660254037844384,0.5000000000000006,-1.0,-4.286263797015736e-16,-0.07473009358642398,-0.9972037971811801,0.14904226617617392,0.9888308262251286,-0.22252093395631403,-0.9749279121818237,2.1666666666666665,1.9310344827586208,3.6,8.066666666666666,16.24137931034483,6.4,9.0,27.7,33.96666666666667,34.13793103448276,33.3,29.666666666666668,27.0,35.36666666666667,28.233333333333334,33.46666666666667,52.03333333333333,52.48275862068966,54.3,72.96666666666667,86.3103448275862,47.4,78.3,53.03333333333333,24.533333333333335,25.0,24.633333333333333,25.533333333333335,25.310344827586206,24.366666666666667,25.433333333333334,24.333333333333332,299.6333333333333,296.2068965517241,302.9,349.1666666666667,383.55172413793105,293.6333333333333,360.26666666666665,409.8,2.5659003831417624,0.9032730178156791,1.9310344827586208,3.6,1.6689655172413793,4.177394636015325,2.266108983021616,1.9310344827586208,8.066666666666666,6.135632183908045,13.514463601532569,11.49633008877688,1.9310344827586208,35.43333333333333,33.50229885057471,14.206848659003832,8.646880756443494,1.9310344827586208,35.43333333333333,33.50229885057471,17.902059386973182,13.80721607637968,1.9310344827586208,68.13793103448276,66.20689655172414,25.094526546250687,15.660465440876868,1.9310344827586208,74.56666666666666,72.63563218390804,9.82400649445129,10.02956910113162,13.32678302493093,11.371442077851688,15.744160156931414,12.544706883876934,0.23563218390804574,-5.0,0.12202380952380931,-0.6976744186046512,134.27692307692308,16.598666666666666,0.0,76.19444444444443,102.26666666666667,30.333333333333332,0.0,11.13333333333333,0.15144262152400018,False
2022-03-24 15:00:00,34.266666666666666,52.0,24.8,301.6,5.366666666666666,15,3,24,3,0,0,0,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.7071067811865471,-0.7071067811865479,1.0,1.1943401194869635e-15,-0.7071067811865472,0.7071067811865478,-0.11196447610330773,-0.9937122098932426,0.22252093395631417,0.9749279121818236,-0.3302790619551659,-0.943883330308368,2.8666666666666667,2.1666666666666665,1.9310344827586208,4.066666666666666,14.166666666666666,11.066666666666666,10.566666666666666,29.366666666666667,35.166666666666664,33.96666666666667,34.13793103448276,30.6,27.0,33.93333333333333,26.4,33.3,47.2,52.03333333333333,52.48275862068966,66.06666666666666,86.53333333333333,51.333333333333336,88.8,52.93333333333333,24.033333333333335,24.533333333333335,25.0,25.0,25.233333333333334,24.2,25.533333333333335,24.033333333333335,290.93333333333334,299.6333333333333,296.2068965517241,324.5,379.2,298.96666666666664,369.9,420.6,2.321455938697318,0.486643283056214,1.9310344827586208,2.8666666666666667,0.9356321839080459,3.3107279693486587,1.2458855348077345,1.9310344827586208,5.233333333333333,3.3022988505747124,12.399904214559387,11.850793066554951,1.9310344827586208,35.43333333333333,33.50229885057471,14.059626436781608,8.814043224657647,1.9310344827586208,35.43333333333333,33.50229885057471,17.774281609195402,13.919277777541774,1.9310344827586208,68.13793103448276,66.20689655172414,24.946709085933225,15.752653641938705,1.9310344827586208,74.56666666666666,72.63563218390804,8.753646520945749,9.591170285467722,12.489973331238089,11.285739490921173,15.218190269235103,12.552959994374167,0.7000000000000002,-3.5333333333333337,0.32307692307692326,-0.5520833333333334,105.2093023255814,17.818666666666665,0.0,98.2311111111111,149.06666666666666,43.0,0.0,9.466666666666665,0.2024535519680166,False
2022-03-24 16:00:00,33.233333333333334,55.7,25.0,305.26666666666665,7.2,16,3,24,3,0,0,0,-0.8660254037844384,-0.5000000000000004,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,0.8660254037844392,-0.4999999999999992,-4.898587196589413e-16,1.0,-0.14904226617617403,-0.9888308262251286,0.29475517441090343,0.955572805786141,-0.4338837391175578,-0.9009688679024193,5.366666666666666,2.8666666666666667,2.1666666666666665,5.233333333333333,35.43333333333333,9.1,21.366666666666667,33.13793103448276,34.266666666666666,35.166666666666664,33.96666666666667,32.5,26.3,33.233333333333334,26.433333333333334,33.241379310344826,52.0,47.2,52.03333333333333,58.666666666666664,89.73333333333333,57.333333333333336,90.93333333333334,54.275862068965516,24.8,24.033333333333335,24.533333333333335,24.866666666666667,25.933333333333334,25.0,26.0,24.17241379310345,301.6,290.93333333333334,299.6333333333333,314.06666666666666,408.26666666666665,310.76666666666665,385.5,417.3448275862069,3.4666666666666663,1.6822603841262966,2.1666666666666665,5.366666666666666,3.1999999999999997,3.5273946360153254,1.492308800186872,1.9310344827586208,5.366666666666666,3.4356321839080453,11.666570881226052,12.002825072301466,1.9310344827586208,35.43333333333333,33.50229885057471,13.822126436781609,8.973548628197495,1.9310344827586208,35.43333333333333,33.50229885057471,17.665948275862068,13.996589001596883,1.9310344827586208,68.13793103448276,66.20689655172414,24.80385194307608,15.821006959803272,1.9310344827586208,74.56666666666666,72.63563218390804,8.232572697210417,8.914441267344703,11.920108556843426,11.003427946943116,14.815824641427287,12.450852861937431,2.4999999999999996,-5.7,0.8720930232558137,-0.5150602409638554,56.881987577639755,18.51096666666667,0.0,178.35222222222222,298.92333333333335,85.86666666666666,0.0,8.233333333333334,0.3854775124357572,False
2022-03-24 17:00:00,32.724137931034484,58.55172413793103,25.0,310.2758620689655,10.172413793103448,17,3,24,3,0,1,0,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.9659258262890683,-0.25881904510252063,0.4999999999999998,-0.8660254037844388,0.7071067811865466,0.7071067811865486,-0.18591160716291474,-0.9825664732332882,0.3653410243663953,0.9308737486442041,-0.5320320765153355,-0.8467241992282849,7.2,5.366666666666666,2.8666666666666667,3.6,30.133333333333333,15.89655172413793,15.172413793103448,43.0,33.233333333333334,34.266666666666666,35.166666666666664,33.3,26.0,30.79310344827586,26.0,32.266666666666666,55.7,52.0,47.2,54.3,91.73333333333333,68.0,90.10344827586206,56.0,25.0,24.8,24.033333333333335,24.633333333333333,26.0,25.862068965517242,25.310344827586206,24.0,305.26666666666665,301.6,290.93333333333334,302.9,416.76666666666665,322.48275862068965,379.9310344827586,431.0,5.144444444444444,2.1751968833837156,2.8666666666666667,7.2,4.333333333333334,3.855172413793103,2.0527104747873333,1.9310344827586208,7.2,5.268965517241379,9.313793103448274,9.407010952194689,1.9310344827586208,30.133333333333333,28.202298850574714,13.742959770114943,9.025251744997819,1.9310344827586208,35.43333333333333,33.50229885057471,17.370809386973182,14.066083620272934,1.9310344827586208,68.13793103448276,66.20689655172414,24.649459496442255,15.865687325978971,1.9310344827586208,74.56666666666666,72.63563218390804,8.073715359178022,8.209320571522715,11.542499725238315,10.63486947953787,14.504779923975347,12.288719330014056,1.833333333333334,-1.8999999999999995,0.3416149068322982,-0.20879120879120872,43.093869731800766,19.160546967895364,0.0,235.6137931034483,421.57241379310346,122.4,0.0,7.724137931034484,0.5201199829781934,False
