model,mae,rmse,mape,smape,mase,r2,pass_naive,cv_mae_mean,cv_mae_std
Lasso,1.9149,3.187,29.65,24.82,1.0516,0.621,❌,3.7084,2.214
ElasticNet,2.0365,3.3393,31.9,28.3,1.1183,0.5839,❌,3.7618,2.3242
LightGBM,2.2756,3.2664,38.86,30.02,1.2496,0.6018,❌,3.2975,0.7167
RandomForest,2.6663,3.6678,50.32,34.52,1.4641,0.498,❌,3.0873,0.7319
Ridge,2.8244,4.5909,47.06,42.3,1.551,0.2135,❌,5.3009,2.8675
XGBoost,3.3643,4.3447,62.11,41.09,1.8475,0.2956,❌,3.5127,0.8173
